0.500000,0.503989,0.507978,0.511966,0.515953,0.519939,0.523922,0.527903,0.531881,0.535856
0.539828,0.543795,0.547758,0.551717,0.555670,0.559618,0.563559,0.567495,0.571424,0.575345
0.579260,0.583166,0.587064,0.590954,0.594835,0.598706,0.602568,0.606420,0.610261,0.614092
0.617911,0.621720,0.625516,0.629300,0.633072,0.636831,0.640576,0.644309,0.648027,0.651732
0.655422,0.659097,0.662757,0.666402,0.670031,0.673645,0.677242,0.680822,0.684386,0.687933
0.691462,0.694974,0.698468,0.701944,0.705401,0.708840,0.712260,0.715661,0.719043,0.722405
0.725747,0.729069,0.732371,0.735653,0.738914,0.742154,0.745373,0.748571,0.751748,0.754903
0.758036,0.761148,0.764238,0.767305,0.770350,0.773373,0.776373,0.779350,0.782305,0.785236
0.788145,0.791030,0.793892,0.796731,0.799546,0.802337,0.805105,0.807850,0.810570,0.813267
0.815940,0.818589,0.821214,0.823814,0.826391,0.828944,0.831472,0.833977,0.836457,0.838913
0.841345,0.843752,0.846136,0.848495,0.850830,0.853141,0.855428,0.857690,0.859929,0.862143
0.864334,0.866500,0.868643,0.870762,0.872857,0.874928,0.876976,0.879000,0.881000,0.882977
0.884930,0.886861,0.888768,0.890651,0.892512,0.894350,0.896165,0.897958,0.899727,0.901475
0.903200,0.904902,0.906582,0.908241,0.909877,0.911492,0.913085,0.914657,0.916207,0.917736
0.919243,0.920730,0.922196,0.923641,0.925066,0.926471,0.927855,0.929219,0.930563,0.931888
0.933193,0.934478,0.935745,0.936992,0.938220,0.939429,0.940620,0.941792,0.942947,0.944083
0.945201,0.946301,0.947384,0.948449,0.949497,0.950529,0.951543,0.952540,0.953521,0.954486
0.955435,0.956367,0.957284,0.958185,0.959070,0.959941,0.960796,0.961636,0.962462,0.963273
0.964070,0.964852,0.965620,0.966375,0.967116,0.967843,0.968557,0.969258,0.969946,0.970621
0.971283,0.971933,0.972571,0.973197,0.973810,0.974412,0.975002,0.975581,0.976148,0.976705
0.977250,0.977784,0.978308,0.978822,0.979325,0.979818,0.980301,0.980774,0.981237,0.981691
0.982136,0.982571,0.982997,0.983414,0.983823,0.984222,0.984614,0.984997,0.985371,0.985738
0.986097,0.986447,0.986791,0.987126,0.987455,0.987776,0.988089,0.988396,0.988696,0.988989
0.989276,0.989556,0.989830,0.990097,0.990358,0.990613,0.990863,0.991106,0.991344,0.991576
0.991802,0.992024,0.992240,0.992451,0.992656,0.992857,0.993053,0.993244,0.993431,0.993613
0.993790,0.993963,0.994132,0.994297,0.994457,0.994614,0.994766,0.994915,0.995060,0.995201
0.995339,0.995473,0.995604,0.995731,0.995855,0.995975,0.996093,0.996207,0.996319,0.996427
0.996533,0.996636,0.996736,0.996833,0.996928,0.997020,0.997110,0.997197,0.997282,0.997365
0.997445,0.997523,0.997599,0.997673,0.997744,0.997814,0.997882,0.997948,0.998012,0.998074
0.998134,0.998193,0.998250,0.998305,0.998359,0.998411,0.998462,0.998511,0.998559,0.998605
0.998650,0.998694,0.998736,0.998777,0.998817,0.998856,0.998893,0.998930,0.998965,0.998999
